검찰, 김재철 전 MBC사장 6일 오전 10시 피의자 소환(1보)	김재철 전 MBC 사장 연합뉴스 자료사진 기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
코레일, '용산개발사업 무산' 항소심도 승소…건설사 '즉각 상고'	 서울고법 사업무산 책임 코레일에 있다고 볼 수 없어  드림허브의 구상금 채무부존재확인소송 패소판결 이데일리 이승현 기자 서울 용산국제업무지구 개발사업 무산의 책임소재를 둘러싼 한국철도공사코레일와 민간 건설사들의 소송에서 법원이 또다시 코레일 손을 들어줬다 건설사들은 납득할 수 없다며 즉시 상고의사를 밝혔다  서울고법 민사30부는 3일 드림허브 프로젝트금융투자드림허브PFV와 민간 출자사들 등이 코레일을 상대로 낸 채무부존재확인소송의 항소심에서 원고패소 판결한 원심을 유지했다 항소심도 1심과 마찬가지로 용산개발사업 무산의 책임이 코레일에 있다고 볼 수 없다고 판단한 것이다 사업비만 30조여원 달하는 용산개발사업은 글로벌 금융위기 이후 자금난을 겪었고 지난 2013년 3월 대출이자 52억원을 납부하지 못하면서 결국 무산됐다 코레일은 사업협약이 해지되면 위약금 성격의 협약이행보증금 2400억원을 청구해 받을 수 있는 보험을 서울보증보험에 가입한 상태였다 이에 서울보증보험은 코레일에 2400억원을 지급했다 서울보증보험은 드림허브 측에 구상금을 청구해 2400억원을 되찾을 수 있다 그러나 드림허브 측은 사업 무산의 책임이 코레일에 있다며 2400억원을 지급할 필요가 없다는 취지의 채무부존재확인소송을 지난 2013년 제기했다 1심 재판부는 “용산국제업무지구 개발 사업을 계속하지 못하게 된 책임이 코레일 측에 있다고 볼 증거가 부족하다”면서 드림허브 측 주장을 받아들이지 않았다 드림허브가 항소해 2심 재판이 진행됐지만 결론은 다르지 않았다 드림허브 측은 입장자료를 내어 “2심 재판부가 1심과 똑같이 판결한 것을 도저히 받아들일 수 없다”며 상고하겠다고 했다 드림허브 측은 “특히 최근 민간출자사들이 대법원에서 75 면책확정 판결을 받은 청라국제업무타운 협약이행보증금 소송과 전혀 동떨어진 선고 결과를 납득할 수 없다”고 강조했다 이승현  
와이지-원, 3Q 영업익 168.5억원.. 전년비 68.4% 증가	머니투데이 안재용 기자  와이지원은 지난 3분기 영업이익이 전년동기대비 684 증가한 168억5000만원을 기록했다고 3일 공시했다 매출액은 124 늘어난 915억9400만원을 기록했다 
코스닥, 1년 2개월 만에 '700' 돌파	아시아경제 문채석 기자코스닥지수가 1년여 만에 700 고지를 돌파했다  3일 코스닥은 전 거래일 대비 617포인트089 오른 70113으로 마감했다 지난해 8월16일 이후 처음으로 700선을 넘어섰다 이날 코스닥은 개장 이후 줄곧 상승세를 이어가다 오후 3시9분께 700을 넘어섰다  개인은 1379억원을 사들이며 코스닥을 밀어 올렸다 외국인과 기관은 각각 874억원 228억원어치를 순매도했다  업종별로 살펴보면 출판  ·매체복제315 기타서비스249 제약206 등이 2 넘게 올랐고 비금속298 기타 제조159 종이 ·목재108 등이 하락했다  시가총액 상위 종목을 살펴보면 메디톡스697와 신라젠665의 상승세가 돋보이는 가운데 로엔410 휴젤332 셀트리온290 셀트리온헬스케어175 등이 상승했다 포스코켐텍616을 비롯해 SK머티리얼즈169 펄어비스139 컴투스111 등은 하락했다  휴젤과 파라다이스는 전 거래일 대비 각각 한 계단씩 상승한 10위 11위를 기록했고 포스코켐텍은 두 계단 하락한 12위로 장을 마쳤다  이날 코스닥시장에선 2종목 상한가를 포함해 587종목이 오른 반면 517종목은 내렸다 하한가를 기록한 종목은 없으며 130종목은 보합 마감했다  문채석 기자  
[시황종합]코스피 사상 최고치… 코스닥 15개월만에 700선 돌파 	머니투데이 송선옥 기자 코스닥 셀트리온·신라젠 등 상승에 힘입어 700선 돌파  코스피 시장이 3일 외국인의 현선물 순매도에도 불구하고 주요 시가총액 상위종목들의 고른 상승에 힘입어 상승전환에 성공 종가 기준 사상 최고치를 갈아치웠다  코스피 시장은 강보합 개장했으나 외국인의 현선물 순매도로 약세를 기록하며 한때 2540선을 하회하기도 했다 그러나 장 마감을 앞두고 기관 매수세가 강화되면서 상승 전환에 성공 2550대 안착에 성공했다  코스닥 지수는 15개월만에 700선 돌파에 성공했다 정부의 기술혁신형 창업기업 육성 소식에 코스닥 투자심리에 긍정적인 영향을 미친 것으로 풀이된다 정부는 기술혁신형 육성에 3년간 30조원을 투자한다는 방침이다 ◇돌아온 기관 코스피 2550대 안착 코스피 지수는 전일대비 1161포인트046 오른 255797로 마감했다  코스피 시장에서는 이틀째 ‘팔자’인 외국인이 1476억원 순매도다 개인이 1681억원 순매도이나 기관이 2728억원 순매수다 기관은 6거래일만에 순매수 전환했다  프로그램 매매는 차익거래 109억원 순매도 비차익거래 1530억원 순매수 등 전체 1421억원 매수 우위다  지수선물 시장에서는 외국인이 4054계약 순매도했다 기관과 개인이 각각 3133계약 969계약 순매수다  업종 중에서는 의약품이 202 올랐으며 음식료품 비금속광물 운송장비 전기가스업 금융업 보험 등이 1대 상승을 기록했다 기계 전기전자 의료정밀 등이 내렸다  시가총액 상위종목 중에서는 삼성전자가 외국인 순매도에 119 내린 281만9000원으로 마감했다  Sk하이닉스가 120 올랐다  삼성생명이 삼성전자 배당확대 수혜 기대감에 149 상승해 13만6500원으로 장을 마쳤다 삼성생명은 장중 13만8500원을 터치하며 52주 신고가를 갈아치웠다  한국전력이 209 상승했으며 현대모비스 KB금융 신한지주 등이 1대 상승을 기록했다 NAVER POSCO 삼성물산 삼성바이오로직스 SK텔레콤 등이 상승했다 LG화학 삼성SDI 넷마블게임즈 등이 내렸다  LG생활건강은 태극제약 인수 소식에 313 올랐다  진에어 상장 기대감에 한진칼우가 상한가를 기록했다 대한항공우도 524 올랐다 한진칼 계열인 진에어는 내달초 코스피 시장 상장을 추진하고 있다  자회사 티슈진 상장 기대감으로 급등세를 연출했던 코오롱글로벌 코오롱우 코오롱글로벌우가 514대 하락을 기록했다  삼화전기가 친환경 자동차용 ‘전도성 고분자 하이브리드 전해콘덴서’ 양산 착수 소식에 470 올랐다  시멘트 업체들이 한라시멘트 본입찰 소식과 배당 기대감에 동반 상승했다 성신양회가 971 상승했으며 아세아시멘트 한일시멘트 등이 상승마감했다  상한가는 한진칼우 1개 종목이다 456개 종목이 상승 331개 종목이 하락했다  ◇코스닥 15개월만에 700선 돌파 코스닥 지수는 전일대비 617포인트089 상승한 70113으로 마감했다  코스닥 지수가 종가 기준으로 700선을 돌파한 것은 2016년8월12일 70518 이후 처음이다  코스닥 시장에서는 외국인과 기관이 각각 874억원 228억원 순매도했으나 개인이 1379억원 순매수했다  상당수 업종이 상승했다 출판매체복제가 315 올랐으며 제약이 206 상승했다 IT종합 오락문화 방송서비스 통신장비 등이 오른 반면 인터넷 종이목재 비금속 등이 내렸다  셀트리온이 글로벌 제약사와의 위탁생산 계약 체결로 209 상승했다 셀트리온헬스케어도 175 올랐다  전일 7만원을 돌파한 신라젠이 이날 8만원을 돌파했다 신라젠은 665 오른 8만1800원으로 장을 마쳤다 6거래일째 강세다  메디톡스가 697 올랐으며 휴젤이 332 상승했다 로엔 CJ EM 바이로메드 코미팜 파라다이스 등이 상승이다  포스코켐텍이 차익실현 매물 출현에 616 내렸다 SK머티리얼즈 펄어비스 컴투스 등이 하락했다  애플 실적 개선 기대감에 아이폰 부품 관련주들이 동반 상승했다 인터플렉스 비에이치 하이비젼시스템 덕우전자 등이 17대 상승을 기록했다  정부의 기술혁신형 창업기업 육성 소식에 창업투자회사들이 동반 상승했다 DSC인베스트먼트가 상한가를 기록했으며 티에스인베스트컨트 제미니투자 에이티넘인베스트 대성창투 등이 상승마감했다  CMG제약이 2018년 미국 임상시험 허가신청IND 진행 소식에 1881 올랐다  상한가는 피에스엠씨 DSC인베스트먼트 2개 종목이다 상승 하락 종목은 각각 585개 517개다  한편 원달러 환율은 서울 외국환시장에서 전일대비 060원005 내린 111380원을 기록했다 코스피200 지수선물 12월물은 130포인트038 오른 33970으로 마감했다  
코스피, 2557.97 마감…종가 기준 '최고치'	아시아경제 권성회 기자 코스피가 2거래일 만에 종가 기준 최고치로 마감했다 삼성전자를 제외한 대부분의 시가총액 상위종목들이 동반상승하면서 지수 상승을 주도했다 3일 코스피는 전 거래일 대비 1161포인트046 오른 255797로 장을 마쳤다 지난 1일 기록한 종가 기준 최고치 255647을 이틀 만에 넘어섰다 기관이 2727억원 기타법인이 429억원을 순매수하면서 지수를 끌어 올렸다 반면 개인과 외국인은 각각 1681억원 1476억원을 순매도했다 업종별로는 의약품202 전기가스업191 음식료품184 등이 상승했고 전기 ·전자079 기계064 의료정밀014 등이 하락했다 시가총액 상위 10위 내 종목들 중에선 삼성전자119 LG화학143을 제외하고 모두 상승마감했다  현대모비스188 삼성생명149 SK하이닉스120 등이 올랐다 고려개발761과 동원산업691은 전날 3분기 호실적을 발표하면서 상승했다 고려개발이 오전 한때 2579 상승하고 동원산업이 상한가를 기록했지만 상승폭은 점차 둔화되면서 거래를 마쳤다 티슈진 상장 기대감에 전날 급등했던 코오롱글로벌1111과 코오롱글로벌우1438는 크게 하락했다 이날 코스피는 1종목 상한가 포함해 456종목이 올랐고 331종목이 내렸다 86종목은 보합을 기록했다 권성회 기자  
[시황종합] 코스피 사상최고 2557…코스닥도 700선 돌파	코스닥 15개월만에 처음으로 700선 돌파…70113 달러원 환율 06원 내린 11138원에 마감 서울뉴스1 온다예 기자  코스피가 하루 만에 상승세로 반전하며 사상 최고치로 장을 마쳤다 코스닥은 정부 정책에 대한 기대감에 힘입어 15개월 만에 처음으로 700선을 넘어섰다 외국인과 개인이 주식을 팔았지만 기관의 매수세가 유입되며 주가를 뒷받침했다 경상수지와 기업 실적이 호조를 보인 점도 주가 상승을 지지한 것으로 풀이된다 이날 달러원 환율은 전날보다 06원 내린 11138원에 마감했다 3일 코스피는 전날보다 1161p046 오른 255797에 마감했다 코스피는 이날 등락을 거듭하며 혼조세를 보였지만 기관의 매수에 힘업어 상승 마감했다 장중 255837까지 오르며 사상 최고치를 기록하기도 했다  외국인은 1476억원 개인은 1679억원 순매도를 보였다 기관은 2727억원 순매수를 나타냈다  지난 9월 경상수지가 사상 최대 흑자를 기록했다 서비스 수지 적자에도 상품수지가 역대 최대 흑자를 내면서 경상수지는 67개월 연속 흑자 행진을 이어갔다    삼성전자는 전날보다 3만4000원119 내린 281만9000원에 마감했다 SK하이닉스는 전날보다 1000원120 오른 8만4400원을 기록했다 코스닥은 15개월만에 700선을 돌파했다 코스닥은 전날보다 617p089 오른 70113에 마감했다 코스닥이 700을 돌파하며 장을 마친 것은 지난해 8월 이후 처음이다 외국인은 874억원 기관은 229억원 순매도했다 개인은 1370억원 순매수했다 정부는 전날 혁신창업 생태계 조성방안을 발표했다 혁신모험펀드 투자기업에 20조원의 자금을 연계 지원하는 대출 프로그램도 마련한다 최대 30조원의 벤처 투자자금으로 혁신 창업 생태계를 활성화해 제2의 벤처 붐을 조성하겠다는 게 정부의 구상이다 시가총액 상위 종목이 일제히 올랐다 셀트리온이 209 셀트리온헬스케어가 175 올랐다  이날 달러원 환율은 전날보다 06원 내린 11138원에 마감했다 hahaha8288 
삼성카드, 올해 3분기 영업이익 1193억원…전년比 0.9%↓	머니투데이 주명호 기자 삼성카드는 올해 3분기 잠정 영업이익이 1193억원으로 전년 같은 분기대비 09 감소했다고 3일 공시했다  같은 기간 매출액은 9133억원 당기순이익은 918억원으로 각각 53 63씩 줄었다 
법원, "용산개발사업 무산 코레일 책임없다"…민간출자사 패소	단군 이래 최대 개발사업으로 불렸던 용산국제업무지구 개발사업 무산 책임을 놓고 민간 출자사들이 코레일을 상대로 낸 항소심에서 코레일 완전 승소 판결이 났다   서울고등법원 제30민사부는 3일 삼성물산 롯데관광개발 등 23개 민간 출자사원고가 코레일피고을 상대로 낸 “채무부존재확인 항소2심 소송”에서 1심과 같은 원고 패소 판결을 내렸다     법원은 판결을 통해 코레일의 사업협약 해지가 적법하며 사업무산은 민간 출자사의 책임이므로 코레일은 지급받은 협약이행 보증금 2400억원을 반환할 의무가 없다고 판단했다     지난 2014년 10월 1심 재판부의 판결에서도 사업무산의 책임은 코레일이 아닌 민간 출자사에 있다는 코레일 완전 승소 판결이 내려진 바 있다    코레일 관계자는 용산개발사업 무산으로 제기된 소송들이 마무리되는 대로 사업의 새로운 청사진을 마련할 계획이라고 말했다 반면 민간 출자사측은 이번 2심 판결에 대한 불복신청으로 즉시 상고한다는 입장이다 시행사 드림허브프로젝트금융투자㈜ 관계자는 2심 재판부가 1심과 똑같이 판결한 것을 도저히 받아들일 수 없다면서 u200b최근 민간출자사들이 대법원에서 75 면책 확정 판결을 받은 청라국제업무타운 협약이행보증금 소송과 전혀 동떨어진 선고 결과를 납득할 수 없다고 반발했다  데일리안 박민 기자  ⓒ 주데일리안  무단전재 변형 무단배포 금지nt   본문 내용  n
두산건설, 3분기 영업익 82억…전년비 99%↑	두산건설은 3분기 연결 기준 영업이익이 82억4600만원으로 전년동기 대비 994 증가했다고 3일 공시했다 매출은 3759억6000만원으로 118 늘었고 순손실은 적자를 지속했다 김근희 한경닷컴 기자   한경닷컴 바로가기   글방   모바일한경 구독신청   ⓒ 한국경제   hankyungcom  무단전재 및 재배포 금지nt   본문 내용  n
두산중공업 3Q 영업익 1960억…전년比 25.5% 증가	이데일리 남궁민관 기자 두산중공업034020은 올해 3분기 영업이익 1960억원을 기록했다고 3일 공시했다 이는 전년 동기 대비 255 증가한 것이다 같은 기간 매출액은 133 증가한 3조4826억원 당기순이익은 적자전환하며 마이너스 100억원으로 집계됐다 남궁민관  
코스피 '뒷심'으로 다시 최고치 마감…2,557.97(2보)	제작 조혜인 기관 순매수로 하루만에 반등 서울연합뉴스 권수현 기자  코스피가 3일 차익 매물에 혼조세를 보이다 기관 매수세를 업고 다시 상승해 역대 최고치로 마감했다      이날 코스피는 전 거래일 대비 1161포인트046 상승한 255797로 거래를 마쳤다      전날 2540대로 물러난 지 하루 만에 상승 반전하며 지난 1일 세운 기존 종가 기준 최고치인 255647을 갈아치웠다      지수는 이날 1201포인트047 상승한 255837로 개장했으나 외국인과 개인이 차익 실현성 매물을 내놓으면서 장중 한때는 2540선 아래로 밀리는 등 줄곧 약세를 나타냈다      하지만 기관 순매수 규모가 커지고 시가총액 상위주 상당수가 상승하면서 다시 우상향 곡선을 그렸고 막판에 오름폭을 더 키워 사상 최고치로 마감했다     이날 유가증권시장에서는 앞서 5거래일 연속 매도 우위를 나타냈던 기관이 사자에 나서 2천727억원어치를 순매수하며 지수를 밀어 올렸다      이에 비해 외국인은 1천476억원 개인은 1천679억원어치를 각각 팔아치웠다     시가총액 상위 종목 중에서 대장주 삼성전자119가 외국인 매도세에 밀려 하락했고 LG화학143도 떨어졌으나 전반적으로 오른 종목이 더 많았다      시총 2위 SK하이닉스120를 비롯해 한국전력209 현대모비스188 삼성생명149 신한지주139 KB금융135 현대차094 NAVER082 POSCO077 등이 줄줄이 올랐다     이영곤 하나금융투자 연구원은 오늘 코스피는 외국인과 개인의 매도세에도 경상수지와 기업실적 호조 기관 매수세 유입으로 소폭 상승했다며 국내 증시는 당분간 매물을 소화하는 과정을 거치며 종목별로 등락이 엇갈릴 것이라고 분석했다      기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
삼성카드, 3분기 취급실적 31조원…"황금연휴 덕분"	머니투데이 송학주 기자 삼성카드가 지난 3분기79월 31조3287억원의 카드사업 취급실적을 올렸다고 3일 공시했다 지난해 3분기 대비 85 증가한 수치다 각 부분별로 △신용판매일시불·할부 26조7368억원 △금융부문장기·단기카드대출 3조8327억원 △선불·체크카드 2807억원 △할부리스사업 4785억원 등이다  삼성카드 관계자는 신용판매 증가는 간편결제 확산 여름휴가철 및 장기 추석연휴 등에 따라 온라인쇼핑·여행·주유 업종 등에서 취급실적이 상승했다며 디지털 채널 및 데이터 분석을 기반으로 효율적인 마케팅을 지속적으로 전개해 온 결과라고 말했다 다만 지난해 3분기 발생했던 보유주식 매각이익에 따른 기저효과로 당기순이익은 전년 동기 대비 62억원 감소한 918억원을 기록했다 지난 8월부터 적용된 영세·중소 가맹점 범위 확대에 따른 가맹점수수료 수익 감소에도 취급고 및 상품자산 증가로 선방했다는 평가다 금감원 기준 30일 이상 연체율은 11로 지속적인 안정세를 보이고 있다 
두산중공업, 올해 3분기 영업이익 1960억원…전년比 25.5%↑	머니투데이 주명호 기자 두산중공업은 올해 3분기 잠정 영업이익이 1960억3100만원으로 지난해 같은 분기대비 2547 증가했다고 3일 공시했다  같은 기간 매출액은 3조4825억9700만원으로 1328 늘었다 반면 당기순손실은 99억9500만원으로 전년대비 적자전환했다 
100일 새 쑥쑥 자란 카카오뱅크…내년엔 전월세 보증금도 대출(종합)	이수영 카카오뱅크 전략파트장서울연합뉴스 임헌정 기자  3일 서울 용산구 카카오뱅크 서울오피스에서 열린 카카오뱅크 100일 기자간담회에서 이수영 전략파트장이 프레젠테이션을 하고 있다      세븐일레븐·롯데시네마 내 롯데ATM에서도 스마트 출금…내후년 신용카드도 출시  10월 말 기준 수신 4조200억원·여신 3조3천900억원 서울연합뉴스 박의래 김경윤 기자  출범 100일을 맞은 카카오뱅크가 내년부터 전·월세 보증금 대출과 신용카드 등 새로운 상품을 줄줄이 내놓으며 성장세에 박차를 가할 전망이다     카카오뱅크는 3일 서울 용산구 소재 제1 고객센터에서 기자간담회를 열고 출범 100일의 성과와 향후 상품 출시 계획을 소개하며 이같이 발표했다     우선 내년 1분기에는 전·월세 보증금 대출 상품을 출시할 계획이다      카카오뱅크 스마트폰 애플리케이션앱으로 서류 사진을 찍어 제출하면 언제 어디서나 대출을 실행할 수 있다     굳이 은행을 방문해 서류를 내거나 영업시간에 맞춰 평일에 이사하지 않아도 되는 것이 장점이다 이 상품은 주택금융공사의 보증을 기반으로 한다     주택담보대출보다 전·월세 보증금 대출을 먼저 내놓은 것은 주 고객 연령층을 고려한 선택이다 카카오뱅크를 주로 젊은 층에서 많이 사용하므로 주택 매매보다는 전세 또는 월세를 선택하는 비중이 높을 것으로 본 것이다     이용우 카카오뱅크 공동대표는 정부 정책이 주택담보대출은 규제하는 데 초점이 맞춰져 있고 우리의 주요 고객인 20∼30대는 전·월세 대출을 더 많이 찾아 전·월세 대출을 먼저 내놓게 됐다고 설명했다     오는 7일부터는 카드 없이 휴대전화로만 현금을 찾을 수 있는 스마트 출금이 기존 CU 편의점은 물론 세븐일레븐 롯데마트 롯데시네마 롯데 면세점 등에 설치된 롯데 현금자동입출금기ATM에서도 가능해진다 카카오뱅크 100일 기자간담회서울연합뉴스 임헌정 기자  3일 서울 용산구 카카오뱅크 서울오피스에서 열린 카카오뱅크 100일 기자간담회에서 이용우왼쪽 윤호영 공동대표가 취재진 질문에 답하고 있다 2017113      카카오뱅크 출범 100일서울연합뉴스 임헌정 기자  3일 서울 용산구 카카오뱅크 서울오피스에서 열린 카카오뱅크 100일 기자간담회에서 이용우 윤호영 공동대표가 취재진 질문에 답하고 있다          또 내년부터 자동이체 통합관리서비스인 페이인포를 통해 카카오뱅크 고객이 휴대전화 요금·보험금 등을 손쉽게 자동이체할 수 있도록 할 계획이다     고객이 다른 은행 계좌의 자동이체를 카카오뱅크 계좌로 한꺼번에 옮길 수 있으며 가상계좌서비스로 지방세 납부도 가능해진다     내후년에는 카카오뱅크 신용카드도 만나볼 수 있을 전망이다     카카오뱅크는 내년 상반기에 예비 인가를 추진하고 내후년 하반기부터 신용카드 사업을 시작할 계획이다     이외에도 카카오뱅크는 롯데그룹과 손잡고 간편 결제 서비스 출시에 힘쓰고 있다     이달부터 롯데그룹과 카카오뱅크 계좌를 기반으로 간편한 결제 서비스를 제공하기 위해 태스크포스TF를 운영한다 롯데멤버스와는 유통 부문 빅데이터 협력을 통해 새로운 상품과 서비스를 준비할 예정이다 카카오뱅크 제공 출범 100일을 맞은 카카오뱅크는 지난 3개월 남짓한 기간에 빠르게 성장했다     지난달 4일 기준으로 계좌개설 고객 수가 400만 명을 넘어섰으며 10월 말 기준 435만 명을 기록했다 하루 평균 4만3천500명이 카카오뱅크 계좌를 연 셈이다     카카오프렌즈 체크카드는 10월 말 기준으로 318만 명이 발급했다 카카오뱅크 서울오피스서울연합뉴스 임헌정 기자  3일 서울 용산구 카카오뱅크 서울오피스에서 카카오뱅크 100일 기자간담회가 열렸다 사진은 카카오뱅크 로고          해외송금은 총 3만4천여 건 이뤄졌다 카카오뱅크는 현재는 불가능한 중국 해외송금도 조만간 가능해질 것이라고 밝혔다     카카오뱅크의 수신 규모는 10월 말 기준 4조200억원 여신은 3조3천900억원으로 집계됐다     여신 고객 가운데서는 고신용자1∼3등급가 절반 이상인 539를 차지했다     고객 만족도는 높은 수준을 유지했다     카카오뱅크가 9월 29일부터 10월 10일까지 성인 남녀 1천500명을 대상으로 앱 만족도 설문조사를 시행한 결과 만족한다는 응답이 765로 집계됐다     지인에게 추천하겠다는 답변도 77에 달했다 특히 50대의 이용 의향이 924 지인 추천 의향이 819로 상당히 높게 나타났다     이 공동대표와 윤호영 공동대표는 이날 기자회견에서 지난 100일간의 성원에 감사를 표하는 한편 은산분리 규제 완화에 대해 목소리를 높였다     윤 공동대표는 은산분리 정책이 바뀌지 않는다고 해서 은행이 어려워지는 것은 아니다라면서도 은산분리 완화가 안 되면 혁신 속도도 느려질 것이라고 지적했다       기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
광주시, 징계 이중잣대… 간부 '관대' 비간부 '엄격'	【광주뉴시스】송창헌 기자  광주시청 전경사진 중징계 요구율 5급 이상 22 6급 이하 44 감경비율 5급 이상 간부 77 6급 이하 69 감사 남발 vs 원칙 따라 의회감사위 언쟁   【광주뉴시스】송창헌 기자  광주시가 직무 관련 비위자들을 징계하면서 간부에게는 관대한 반면 비간부에게는 엄격해 이중잣대 논란을 낳고 있다  감사 남발 논란을 놓고는 시의회와 감사위 간에 기싸움도 벌어졌다  광주시의회 행정자치위원회 이미옥민중당 비례 의원은 3일 광주시 감사위원회에 대한 행정사무감사에서 음주운전이나 폭행 등을 제외한 순수 업무 관련 징계 처분 결과를 분석한 결과 간부와 비간부의 중징계 요구율과 감경률이 형평성에 어긋난 것으로 나타났다고 밝혔다  시 감사위가 이 의원에게 제출한 자료에 따르면 시 감사위가 합의제 독립기구로 출범한 이후 지난해부터 올해까지 업무와 관련한 각종 비위로 징계요구된 공무원은 모두 54명으로 이중 5급 사무관 이상 간부는 18명 6급 이하 비간부는 36명에 이른다 비간부 중에는 전국공무원노조 설립 관련자가 11명도 포함됐다  이들 가운데 중징계 요구된 인원은 5급 이상은 222 6급 이하는 445다  5급 이상은 징계 대상 10명 중 2명에 대해서만 중징계 요구가 이뤄진 반면 6급 이하는 10명 중 4명이나 돼 비간부 중징계 요구율이 두 배에 달했다    감경률도 편차가 크다 감사위 징계요구 후 소집된 시 인사위원회에서 5급 이상은 징계대상 중 778가 감경 혜택을 받은 반면 비간부는 69로 간부들에 비해 88포인트 낮았다  이 의원은 감사위 징계 요구와 인사위 징계 처분 결과 모두 간부들에게는 관대하고 비간부에게는 엄격한 것으로 나타났다며 상급자에게 결재를 받은 뒤 업무를 수행을 하는 공직사회 특성을 감안하면 형평성에 맞지 않고 간부들은 책임을 회피한다고 밖에 볼 수 없다고 지적했다  감사 건수를 두고는 남발론과 원칙론이 맞섰다  국민의당 조영표남구1 의원은 감사위가 출범한 2016년에 징계요구 건수가 3년전보다 24배나 증가했지만 인사위 심의 결과 중징계는 333 경징계는 68나 받아들여지는 등 실제 징계 결과는 미미했다며 감사위가 실적을 올리기 위해 징계를 남발하고 있다고 지적했다  더불어민주당 반재신북구1 의원도 전공노 무더기 징계를 예로 들며 재갈 물리기 엮기 감사 아니냐는 비판의 목소리가 높다고 질타했다  이에 성문옥 감사위원장은 비위 혐의가 드러날 경우 징계양정에 따라 법관 원칙대로 징계 요구를 했을 뿐 실적위주나 감사권 남발은 없었다고 반박했다  이어 감경률의 경우 감사위에서는 적극 행정 과정에서 빚어진 행정적 과실에 대해서는 면책 사유가 있으나 인사위원회에서는 포상 면책 등 면책 사유가 다양하다보니 아무래도 감경되는 사례가 많은 것으로 안다며 재차 감사위는 법 규정과 공직복무에 대한 기본원칙에 따라 감사를 했을 뿐이라고 강조했다    한편 행자위는 이날 감사위가 의회 요구자료를 제대로 제출하지 않아 질의가 어렵다는 이유로 질의를 1시간여만에 중단한 뒤 오는 13일 다시 회의를 속개하기도 했다   
[속보]김명수 대법원장, ’판사 블랙리스트’ 추가조사 결정	김명수 대법원장58·사진이 법원행정처가 판사들의 성향과 동향을 파악했다는 이른바 ‘판사 블랙리스트’에 대해 추가조사키로 결정했다 대법원은 3일 “대법원장은 사법부의 현안으로 제기된 ‘사법부 블랙리스트’ 논란의 의혹을 해소하고 법원 구성원 사이에 발생한 갈등과 혼란을 없애기 위해 이에 대해 추가조사를 명하기로 결정했다”고 밝혔다 대법원은 “대법원장이 취임하고 지난 한달여 동안 전국법관대표회의 임원진과 진상조사위원회 위원 서초동 법원청사 내 각 직급별 법관 법원행정처 소속 법관들의 의견을 들어왔다”며 “지난달 27일 대법관들의 의견까지 들은 다음 이 같은 결정을 내리게 됐다”고 설명했다 대법원은 또 “추가조사의 주체와 대상 방법 절차 등 구체적인 사항에 관해서는 현재 검토 중”이라며 “사법신뢰에 지장이 생기지 않고 그 절차가 신중하고 합리적으로 이뤄질 수 있도록 할 예정”이라고 밝혔다 박광연 기자  
부산서 도로에 물기둥 치솟아…교통통제·단수 불편	부산연합뉴스 차근호 기자  3일 오후 2시께 부산 금정구 산성터널 접속도로 공사현장에서 상수도관이 파손되며 물기둥이 치솟아 올랐다      이 사고로 인근 도로 2개 차선이 오후 3시 30분 현재까지 통제되고 있다      상수도 사업본부 직원들이 출동해 밸브를 잠그는 등 사고 수습을 하고 있지만 물은 계속 새 나오고 있다     이날 사고는 산성터널 공사현장의 포크레인 기사가 말뚝 공사를 위해 지장물을 확인하는 작업을 하던 중 실수로 지름 700㎜의 상수도를 건드린 것으로 알려졌다  부산서 물기둥부산지방경찰청 제공 연합뉴스     상수도사업본부와 부산시는 오늘 밤까지 상수도관 복구 작업이 계속될 것으로 예상했다      이 때문에 주변 일부 가구에 대한 단수가 불가피할 것으로 보인다      상수도본부 관계자는 현장에서 작업자가 어디에서 물이 새는지 파악하고 있다면서 복구공사 지점이 파악되면 단수 계획 등이 나올 예정이라고 밝혔다  부산서 물기둥부산지방경찰청 제공 연합뉴스      기사 문의기사 제목을 꼭 알려주세요 및 제보는 여기로클릭 최신 유행 트렌드 총집결클릭 n   본문 내용  n
